Column Name,kPB,?CH2,?T/O,?C/P,?B/P pH 7.6,?B/P pH 2.7,Type*,Particle Size** [µm],TPP/SPP,Pore Size [A]
Acclaim 120 C18 3.0 µm,7.82,1.52,1.41,0.45,0.39,0.08,C18,3,TPP,120
Acclaim Mixed mode HILIC 5um,0.55,1.25,1.9,1.19,2.18,0.06,Diol,5,TPP,120
Acclaim Mixed mode WAX 5um,0.77,1.29,2.45,0.06,0.09,-0.1,Alkyl/WAX,5,TPP,120
Acclaim Mixed mode WCX 5um,0.66,1.16,3.33,0.48,1.84,0.05,Alkyl/WCX,5,TPP,120
Acclaim PA C16,4.16,1.4,2.71,0.34,0.27,0.04,PEG,5,TPP,120
Acclaim PA2 C18 3.0 µm,4.28,1.45,1.87,0.26,0.34,0.05,C18,3,TPP,120
Acclaim RSLC 120 C18 2.2 µm,7.62,1.51,1.37,0.44,0.38,0.1,C18,2.2,TPP,120
Acclaim RSLC PA2 C18 2.2 µm,4.92,1.44,1.92,0.22,0.52,0.07,C18,2.2,TPP,120
Accucore C18,4.44,1.48,1.61,0.36,0.43,0.1,C18,2.6,SPP,150
ACE 3 C18,5.22,1.48,1.59,0.39,0.32,0.11,C18,3,TPP,100
ACE 3 C18-300,2.41,1.46,1.58,0.37,0.38,0.11,C18,3,TPP,300
ACE 3 C18-AR,4.33,1.42,1.75,0.76,0.42,0.13,Phenyl,3,TPP,100
ACE 3 C18HL,7.95,1.5,1.6,0.38,0.32,0.08,C18,3,TPP,90
ACE 3 C18-PFP,4.34,1.39,3.04,0.54,0.31,0.11,PFP,5,TPP,100
ACE 3 C4,1.09,1.29,0.71,0.44,0.37,0.14,C4,3,TPP,100
ACE 3 C4-300,0.49,1.28,0.73,0.46,0.49,0.17,C4,3,TPP,300
ACE 3 C8,2.41,1.36,1,0.34,0.31,0.11,C8,3,TPP,100
ACE 3 C8-300,1.38,1.31,1,0.35,0.42,0.19,C8,3,TPP,300
ACE 3 CN,0.18,1,1.88,0.68,0,0.16,CN,3,TPP,100
ACE 3 CN-300,0.29,1,1,1.28,0,0.33,CN,3,TPP,300
ACE 3 phenyl,1.14,1.27,1.03,1.25,0.59,0.16,Phenyl,5,TPP,100
ACE 3 Phenyl-300,0.55,1.25,1.03,1.28,0.61,0.23,Phenyl,3,TPP,300
ACE 5 AQ,2.53,1.36,1.26,0.48,0.36,0.11,PEG,5,TPP,100
ACE 5 C18,5.44,1.48,1.56,0.38,0.32,0.11,C18,5,TPP,100
ACE 5 C18-300,2.41,1.47,1.61,0.35,0.34,0.11,C18,5,TPP,300
ACE 5 C18-AR,4.5,1.42,1.74,0.75,0.35,0.12,Phenyl,5,TPP,100
ACE 5 C18-AR-300,1.95,1.41,1.8,0.71,0.44,0.08,Phenyl,5,TPP,300
ACE 5 C18-PFP,4.33,1.38,3.09,0.53,0.3,0.1,PFP,5,TPP,100
ACE 5 C18-PFP-300,1.85,1.36,3.02,0.52,0.35,0.11,PFP,5,TPP,300
ACE 5 C8,2.36,1.36,1,0.34,0.31,0.11,C8,5,TPP,100
ACE 5 CN,0.26,1.08,1.73,0.51,0,0.15,CN,5,TPP,100
ACE 5 Phenyl,1.2,1.26,1,1.14,0.46,0.14,Phenyl,5,TPP,100
ACE 5 SuperC18,7.93,1.49,1.46,0.44,0.18,0.11,C18,5,TPP,90
ACE C18 2um,5.47,1.47,1.51,0.38,0.25,0.11,C18,2,TPP,100
ACE C18-Amide 10 µm,4.17,1.39,2.07,0.26,0.21,0.07,PEG,10,TPP,100
ACE C18-Amide 3 µm,4.03,1.41,2.07,0.26,0.21,0.08,PEG,3,TPP,100
ACE C18-Amide 5 µm,4.3,1.41,2.11,0.25,0.2,0.07,PEG,5,TPP,100
ACE C18-AR 2um,4.35,1.41,1.71,0.75,0.29,0.12,Phenyl,2,TPP,100
ACE C18-PFP 2um,4.81,1.38,2.98,0.53,0.24,0.11,PFP,2,TPP,100
